armrest_numstrokes,backrest_numstrokes,beak_numstrokes,body_numstrokes,bumper_numstrokes,door_numstrokes,ear_numstrokes,eye_numstrokes,feet_numstrokes,head_numstrokes,headlight_numstrokes,hood_numstrokes,leg_numstrokes,mouth_numstrokes,neck_numstrokes,paw_numstrokes,seat_numstrokes,tail_numstrokes,trunk_numstrokes,unknown_numstrokes,wheel_numstrokes,window_numstrokes,windshield_numstrokes,wing_numstrokes,armrest_total_arclength,backrest_total_arclength,beak_total_arclength,body_total_arclength,bumper_total_arclength,door_total_arclength,ear_total_arclength,eye_total_arclength,feet_total_arclength,head_total_arclength,headlight_total_arclength,hood_total_arclength,leg_total_arclength,mouth_total_arclength,neck_total_arclength,paw_total_arclength,seat_total_arclength,tail_total_arclength,trunk_total_arclength,unknown_total_arclength,wheel_total_arclength,window_total_arclength,windshield_total_arclength,wing_total_arclength
0,0,1,6,0,0,0,2,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,33,465,0,0,0,50,44,0,0,0,81,0,0,0,0,1178,0,0,0,0,0,0
0,0,0,6,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,0,0,0,0,28,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
0,0,3,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1443,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1281,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
0,0,0,6,0,0,0,0,3,4,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1260,0,0,0,0,46,224,0,0,222,0,0,0,0,58,0,0,0,0,0,93
0,0,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,309,0,0,0,0,120,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,609,0,0,0,0,160,0,0,0,162,0,0,0,0,930,0,0,0,0,0,0
0,0,1,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1758,0,0,0,0,74,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0
0,0,1,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1485,0,0,0,0,170,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0
0,0,1,3,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,21,693,0,0,0,0,43,0,0,0,396,0,0,0,0,0,0,0,0,0,0,583
0,0,3,6,0,0,0,0,4,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1602,0,0,0,0,63,28,0,0,210,0,0,0,0,0,0,0,0,0,0,0
0,0,1,3,0,0,0,2,5,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,35,519,0,0,0,10,121,216,0,0,0,0,0,0,0,582,0,0,0,0,0,76
0,0,1,3,0,0,0,2,4,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,88,1065,0,0,0,128,46,0,0,0,261,0,0,0,0,0,0,408,0,0,0,0
0,0,1,3,0,0,0,4,3,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,37,453,0,0,0,42,55,0,0,0,264,0,0,0,0,784,0,0,0,0,0,0
0,0,1,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1665,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0
0,0,1,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1524,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,0,0,0,0,61,416,0,0,279,0,0,0,0,0,0,0,0,0,0,0
0,0,2,9,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,70,1419,0,0,0,0,209,0,0,0,162,0,0,0,0,0,0,0,0,0,0,110
0,0,1,9,0,0,0,2,8,2,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,38,1122,0,0,0,204,202,68,0,0,288,0,0,0,0,244,0,0,0,0,0,79
0,0,2,3,0,0,0,6,8,0,0,0,15,0,0,0,0,2,0,0,0,0,0,13,0,0,72,843,0,0,0,110,206,0,0,0,645,0,0,0,0,138,0,0,0,0,0,834
0,0,1,9,0,0,0,2,2,4,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,51,990,0,0,0,114,428,292,0,0,0,0,0,0,0,222,0,100,0,0,0,144
0,0,1,6,0,0,0,0,4,2,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,35,546,0,0,0,0,118,428,0,0,333,0,0,0,0,374,0,0,0,0,0,111
0,0,0,6,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1950,0,0,0,28,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
0,0,0,6,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1617,0,0,0,34,122,148,0,0,0,0,0,0,0,0,0,0,0,0,0,101
0,0,3,3,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,488,894,0,0,0,0,132,104,0,0,0,0,0,0,0,242,0,0,0,0,0,792
0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,1,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,69,0,0,0,0,12,69,346,0,0,126,0,0,0,0,612,0,0,0,0,0,0
0,0,3,9,0,0,0,14,6,6,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,105,1752,0,0,0,290,103,416,0,0,270,0,0,0,0,20,0,0,0,0,0,109
0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,53,0,0,0,0,0,0,2138,0,0,2061,0,0,0,0,0,0,0,0,0,0,167
0,0,1,3,0,0,0,0,4,2,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,48,663,0,0,0,0,66,182,0,0,255,0,0,0,0,114,0,0,0,0,0,225
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108,0,0,0,0
0,0,1,3,0,0,0,0,4,2,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,77,798,0,0,0,0,70,292,0,0,261,0,0,0,0,254,0,0,0,0,0,323
0,0,1,3,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,59,729,0,0,0,0,0,340,0,0,111,0,0,0,0,214,0,0,0,0,0,222
0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,246
0,0,0,6,0,0,0,0,5,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,738,0,0,0,0,164,206,0,0,177,0,0,0,0,1240,0,0,0,0,0,0
0,0,3,18,0,0,0,0,3,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,49,3210,0,0,0,0,57,214,0,0,264,0,0,0,0,478,0,0,0,0,0,0
